protein;p.value;q.value;sig;sigq;Treatment;mean;sd;n
Ca13;9,21266157612355e-02;0,36299814916506712;;;Pneumonia + CI;1,094932;0,4229704905427801;5
Mia;2,90985983420038e-02;0,35819991118473499;*;;Control + CI;3,237058;0,2677069709962743;5
Mia;2,90985983420038e-02;0,35819991118473499;*;;Pneumonia + CI;2,714958;0,3423319582218406;5
Cant1;3,89347729548625e-02;0,35819991118473499;*;;Control + CI;-0,553402;0,2241118678695976;5
Cant1;3,89347729548625e-02;0,35819991118473499;*;;Pneumonia + CI;-0,858592;0,1480433394989454;5
Kitlg;7,86077952060703e-02;0,36299814916506712;;;Control + CI;0,810202;1,0317238432206557;5
Kitlg;7,86077952060703e-02;0,36299814916506712;;;Pneumonia + CI;-0,271742;0,1177057142623076;5
Gfra1;8,27754664657033e-02;0,36299814916506712;;;Control + CI;1,452052;0,1645723122824736;5
Gfra1;8,27754664657033e-02;0,36299814916506712;;;Pneumonia + CI;1,234276;0,1819402688521703;5
Ppp1r2;6,53301930821704e-02;0,36299814916506712;;;Control + CI;1,970152;0,8269328355253527;5
Ppp1r2;6,53301930821704e-02;0,36299814916506712;;;Pneumonia + CI;1,029500;0,4440402383230601;5
Adam23;2,38229544254231e-01;0,42974741316449516;;;Control + CI;-0,787262;0,1976887804606017;5
Adam23;2,38229544254231e-01;0,42974741316449516;;;Pneumonia + CI;-0,945934;0,1959747682228506;5
Itgb6;1,18368961684261e-01;0,36299814916506712;;;Control + CI;1,379204;0,1374616709486685;5
Itgb6;1,18368961684261e-01;0,36299814916506712;;;Pneumonia + CI;2,012152;0,7135304921094823;5
Cyr61;1,79577464973969e-01;0,38886643976578378;;;Control + CI;5,152048;0,4131088725384628;5
Cyr61;1,79577464973969e-01;0,38886643976578378;;;Pneumonia + CI;5,591862;0,5215670203051569;5
Dlk1;4,85292939162078e-01;0,66180214835198214;;;Control + CI;1,748366;0,2162918151017277;5
Dlk1;4,85292939162078e-01;0,66180214835198214;;;Pneumonia + CI;1,648608;0,2149049249551997;5
Ahr;2,09129677172803e-01;0,41168392965281364;;;Control + CI;1,079578;0,3550536850534015;5
Ahr;2,09129677172803e-01;0,41168392965281364;;;Pneumonia + CI;1,343566;0,2364091354622321;5
Ccl2;1,70904019361021e-01;0,38886643976578378;;;Control + CI;8,761196;0,8099111320570918;5
Ccl2;1,70904019361021e-01;0,38886643976578378;;;Pneumonia + CI;8,090094;0,5614184846707486;5
Eno2;7,18829092352637e-01;0,84784969867234117;;;Control + CI;2,486826;0,1322999919879061;5
Eno2;7,18829092352637e-01;0,84784969867234117;;;Pneumonia + CI;2,452096;0,1604054680489414;5
Plin1;5,82675958221006e-02;0,36299814916506712;;;Control + CI;1,466708;0,2267151357320459;5
Plin1;5,82675958221006e-02;0,36299814916506712;;;Pneumonia + CI;1,099238;0,2905643955649074;5
Wfikkn2;8,24656136199088e-01;0,90319481583709638;;;Control + CI;3,083502;0,1877914411521463;5
Wfikkn2;8,24656136199088e-01;0,90319481583709638;;;Pneumonia + CI;3,054512;0,2117271427332831;5
Flrt2;5,75427549843670e-01;0,74562443078334706;;;Control + CI;2,229822;0,2601265724027441;5
